Title,Authors,Source.Title,Publication.Year,Nyear,Nsite
Assessing the relationship between fire and grazing on soil characteristics and mite communities in a semi-arid savanna of northern Australia,"Beyer, Stephen; Kinnear, Adrianne; Hutley, Lindsay B.; McGuinness, Keith; Gibb, Karen",PEDOBIOLOGIA,2011,2,1
CHANGES IN SPIDER (ARANEAE) ASSEMBLAGES IN RELATION TO SUCCESSION AND GRAZING MANAGEMENT,"GIBSON, CWD; HAMBLER, C; BROWN, VK",JOURNAL OF APPLIED ECOLOGY,1992,5,1
Impacts of ungulates on the demography and diversity of small mammals in central Kenya,"Keesing, F",OECOLOGIA,1998,3,1
THE EFFECTS OF AGRICULTURAL MANAGEMENT ON THE SOIL BIOTA OF SOME UPLAND GRASSLANDS,"BARDGETT, RD; FRANKLAND, JC; WHITTAKER, JB",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1993,4,1
"Competition and compensation among cattle, zebras, and elephants in a semi-arid savanna in Laikipia, Kenya","Young, TP; Palmer, TM; Gadd, ME",BIOLOGICAL CONSERVATION,2005,8,1
"Responses of vertebrates to pastoralism, military land use and landscape position in an Australian tropical savanna","Woinarski, JCZ; Ash, AJ",AUSTRAL ECOLOGY,2002,1,1
"The effects of varied grazing management on epigeal spiders, harvestmen and pseudoscorpions of Nardus stricta grassland in upland Scotland","Dennis, P; Young, MR; Bentley, C",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2001,4,1
Impact of herbivores on nitrogen cycling: contrasting effects of small and large species,"Bakker, ES; Olff, H; Boekhoff, M; Gleichman, JM; Berendse, F",OECOLOGIA,2004,7,1
The effects of livestock grazing on foliar arthropods associated with bird diet in upland grasslands of Scotland,"Dennis, Peter; Skartveit, John; McCracken, David I.; Pakeman, Robin J.; Beaton, Katy; Kunaver, Anja; Evans, Darren M.",JOURNAL OF APPLIED ECOLOGY,2008,4,1
"To graze or not to graze? Sheep, voles, forestry and nature conservation in the British uplands","Evans, DM; Redpath, SM; Elston, DA; Evans, SA; Mitchell, RJ; Dennis, P",JOURNAL OF APPLIED ECOLOGY,2006,3,1
"The effect of reindeer grazing on decomposition, mineralization and soil biota in a dry oligotrophic Scots pine forest","Stark, S; Wardle, DA; Ohtonen, R; Helle, T; Yeates, GW",OIKOS,2000,1,1
"EFFECTS OF AN 11-YEAR LIVESTOCK EXCLOSURE ON RODENT AND ANT NUMBERS IN THE CHIHUAHUAN DESERT, SOUTHEASTERN ARIZONA","HESKE, EJ; CAMPBELL, M",SOUTHWESTERN NATURALIST,1991,NA,1
The effects of cattle grazing on tall-herb fen vegetation and molluscs,"Ausden, M; Hall, M; Pearson, P; Strudwick, T",BIOLOGICAL CONSERVATION,2005,3,1
"Cattle grazing, raptor abundance and small mammal communities in Mediterranean grasslands","Torre, Ignacio; Diaz, Mario; Martinez-Padilla, Jesus; Bonal, Raul; Vinuela, Javier; Fargallo, Juan A.",BASIC AND APPLIED ECOLOGY,2007,3,1
Effects of livestock removal and perennial grass recovery on the lizards of a desertified arid grassland,"Castellano, MJ; Valone, TJ",JOURNAL OF ARID ENVIRONMENTS,2006,2,1
DIFFERENCES BETWEEN INVERTEBRATE FAUNAS OF GRAZED AND UNGRAZED CHALK GRASSLAND .2. FAUNAS OF SAMPLE TURVES,"MORRIS, MG",JOURNAL OF APPLIED ECOLOGY,1968,2,1
