StudyID,Title,Nsite,Nyear
1,Hot and toxic: Temperature regulates microcystin release from cyanobacteria,11,2
2,Spatial and temporal variations in the relationship between lake water surface temperatures and water quality - A case study of Dianchi Lake,10,12
12,"Spatial differences in dissolved silicon utilization in Lake Baikal, Siberia: Examining the impact of high diatom biomass events and eutrophication",15,1
13,Phytoplankton limitation in Patagonian and Pampean shallow lakes: effect of phosphorus and light,1,2
14,"Evaluating the contamination of microcystins in Lake Taihu, China: The. application of equivalent total MC-LR concentration",14,2
19,From Bacteria to Fish: Ecological Consequences of Seasonal Hypoxia in a Great Lakes Estuary,4,1
20,Interactive effects of environmental factors on phytoplankton communities and benthic nutrient interactions in a shallow lake and adjoining rivers in China,12,1
22,The structuring role of submerged macrophytes in a large subtropical shallow lake: Clear effects on water chemistry and phytoplankton structure community along a vegetated-pelagic gradient,8,2
26,Gravel pit lakes in Denmark: Chemical and biological state,1,1
29,Pelagic zonation of water quality and phytoplankton in the Great Lakes,72,4
33,"Sources of nutrients behind recent eutrophication of Lago de Tota, a high mountain Andean lake",10,2
42,Extreme drought decouples silicon and carbon geochemical linkages in lakes,13,5
53,Differential bioaccumulation of mercury by zooplankton taxa in a mercury-contaminated reservoir Guizhou China,4,2
54,"Influence of Environmental Conditions on the Phytoplankton Community Assemblages in Suloglu Reservoir (Edirne, Turkey)",3,1
55,Habitat suitability evaluation of a benthic macroinvertebrate community in a shallow lake,14,1
56,Assessment of the efficiency of a trophic state index in determining the water quality of public water supply reservoirs,NA,NA
59,"Status of Water Quality in King Talal Reservoir Dam, Jordan",40,NA
65,Application of feature selection and regression models for chlorophyll-a prediction in a shallow lake,8,5
70,Spatial statistics of hydrography and water chemistry in a eutrophic boreal lake based on sounding and water samples,16,2
72,Lake Caviahue: an extreme environment as a potential sentinel for nutrient deposition in Patagonia,2,16
74,The Role of Confluence in Shaping Water Quality Parameters on Example of the Flow-Through Lake Bikcze (Eastern Poland),72,1
