"","rep","type","nstudies"
"1",1,"years",160
"2",2,"years",107
"3",3,"years",62
"4",4,"years",47
"5",5,"years",38
"6",6,"years",33
"7",7,"years",26
"8",8,"years",21
"9",9,"years",20
"10",10,"years",13
"11",11,"years",10
"12",12,"years",9
"13",13,"years",9
"14",14,"years",9
"15",15,"years",7
"16",16,"years",5
"17",17,"years",3
"18",18,"years",3
"19",19,"years",2
"20",20,"years",2
"21",21,"years",2
"22",22,"years",2
"23",23,"years",2
"24",24,"years",2
"25",25,"years",2
"26",26,"years",2
"27",27,"years",2
"28",28,"years",2
"29",29,"years",2
"30",30,"years",2
"31",1,"sites",177
"32",2,"sites",154
"33",3,"sites",131
"34",4,"sites",102
"35",5,"sites",88
"36",6,"sites",76
"37",7,"sites",74
"38",8,"sites",63
"39",9,"sites",59
"40",10,"sites",52
"41",11,"sites",50
"42",12,"sites",45
"43",13,"sites",44
"44",14,"sites",41
"45",15,"sites",39
"46",16,"sites",36
"47",17,"sites",36
"48",18,"sites",33
"49",19,"sites",33
"50",20,"sites",27
"51",21,"sites",26
"52",22,"sites",26
"53",23,"sites",24
"54",24,"sites",19
"55",25,"sites",18
"56",26,"sites",18
"57",27,"sites",18
"58",28,"sites",17
"59",29,"sites",17
"60",30,"sites",15
